group,id,input,mean,std_dev,median,max,min
ProjectionPushdown,With,1000,91654179.15996498,13637241.922001168,87866982.35,149952741.96666667,87533117.46428572
ProjectionPushdown,With,10,3124033.3312628577,959382.0947162582,2612512.26,5542402.988571429,2593887.785714286
ProjectionPushdown,With,100,12678726.262833474,4180410.4950644206,10443452.909090908,21951529.266666666,10411343.3
ProjectionPushdown,Without,1000,164419084.67966995,31259179.091789417,154344704.5,282408974.54545456,153848134.33333334
ProjectionPushdown,Without,10,3776245.757235425,1121466.0068639915,3221279.077777778,6802970.414583334,3213299.7153846156
ProjectionPushdown,Without,100,18433427.605356157,4201350.78954765,17051499.595238097,35936877.36904762,17006936.75
PredicatePushdown-selectivity,With,60,26405607.490944993,362286.83968170366,26314201.4,27974963.25,26272707.25
PredicatePushdown-selectivity,With,40,28230316.62302684,355244.4582848715,28468116.795454547,28666510.32142857,27675176.916666668
PredicatePushdown-selectivity,With,80,24180678.045587678,1197539.50172271,23851577.727272727,29331320.25,23767793.35
PredicatePushdown-selectivity,With,20,29185620.612570535,189260.28914220608,29121127.472222224,29801891.0,29021567.083333332
PredicatePushdown-selectivity,Without,60,25738305.69882862,135585.393790048,25683759.85,26160250.25,25637259.85
PredicatePushdown-selectivity,Without,40,34987516.37859601,12287742.861883236,27710226.275,57427807.7,26936916.73214286
PredicatePushdown-selectivity,Without,80,24682574.79240938,5903983.202430523,23264558.355555557,50397450.666666664,23206430.333333332
PredicatePushdown-selectivity,Without,20,28405818.944877855,139751.02402221132,28389145.807692308,28908581.0,28257872.55
PredicatePushdown-n_row,With,10000,4047451.0363236642,1387377.3186487115,3061145.3636363638,6158863.125874126,2918591.3257575757
PredicatePushdown-n_row,With,1000000,290129920.4,2934614.298443961,290848782.75,294302800.75,283268108.25
PredicatePushdown-n_row,With,100000,31064590.18190022,5229182.16765284,29386563.416666668,49729494.046875,28800461.0
PredicatePushdown-n_row,With,10000000,3111911802.35,38551425.385629416,3095604645.0,3234344038.0,3078274875.0
PredicatePushdown-n_row,Without,10000,4567193.6798119005,1530390.3424232763,5973878.221052632,6353707.278195488,2851780.6558704455
PredicatePushdown-n_row,Without,1000000,283997909.1375,2252297.638188366,284177813.0,287567855.5,276129963.75
PredicatePushdown-n_row,Without,100000,28664202.048043925,292155.7122057923,28695112.37037037,29540929.666666668,27930134.5
PredicatePushdown-n_row,Without,10000000,3112107786.85,296073056.0672043,3031697116.0,4392132359.0,3016296610.0
