group,id,input,mean,std_dev,median,max,min
CSV Source projection,No Optimizations,1000,175231991.5896801,25762315.743503522,166442621.9473684,264354899.7857143,165142160.0
CSV Source projection,No Optimizations,10,4822834.711430687,1823741.5182827616,3490304.4736842103,7967632.0,3324829.5119617223
CSV Source projection,No Optimizations,100,19627675.626390494,4504384.3579930235,18422337.25,39182379.99074074,18273385.666666668
CSV Source projection,With projection pushdown,1000,100294961.33153304,1459072.9041568113,99885807.16666667,105640503.0,98953965.75
CSV Source projection,With projection pushdown,10,2757432.4559535272,47913.264195415584,2742224.3082706765,2935260.4571428574,2718585.838095238
CSV Source projection,With projection pushdown,100,11881255.151955878,133635.61494623445,11833901.1625,12286178.92857143,11747956.25
CSV Source,With Schema,1000,100122937.50135067,5529939.392859037,98367958.4,121714393.0,96834414.0
CSV Source,With Schema,10,1786261.7805735942,35005.95842632875,1785440.483974359,1874715.7554945054,1728565.9951923077
CSV Source,With Schema,100,13404741.213593159,4789015.369597875,10799067.44642857,23708705.2125,10696156.778846154
CSV Source,No Optimizations,1000,98635919.48133776,1437454.6121741747,98240186.21052632,103795634.0,97213870.5
CSV Source,No Optimizations,10,1726843.819516215,25362.62358971222,1719216.171679198,1810478.642857143,1703245.6326530613
CSV Source,No Optimizations,100,15386397.519385701,5332507.178354298,13852979.575,23531726.75,10681168.25
